bairro,grau,ordem_ego,tamanho_ego,densidade_ego
Aflitos,30,31,240,0.5161
Afogados,19,20,130,0.6842
Agua Fria,23,24,156,0.5652
Alto Jose Bonifacio,19,20,130,0.6842
Alto Jose do Pinho,4,5,10,1.0
Alto Santa Teresinha,8,9,36,1.0
Alto do Mandu,15,16,120,1.0
Apipucos,15,16,120,1.0
Areias,18,19,126,0.7368
Arruda,23,24,156,0.5652
Barro,21,22,141,0.6104
Beberibe,8,9,36,1.0
Boa Viagem,19,20,130,0.6842
Boa Vista,21,22,141,0.6104
Bomba do Hemeterio,8,9,36,1.0
Bongi,4,5,10,1.0
Brasilia Teimosa,4,5,10,1.0
Brejo da Guabiraba,22,23,148,0.585
Brejo de Beberibe,7,8,28,1.0
Cabanga,6,7,21,1.0
Cacote,3,4,6,1.0
Cajueiro,8,9,36,1.0
Campina do Barreto,8,9,36,1.0
Campo Grande,8,9,36,1.0
Casa Amarela,15,16,120,1.0
Casa Forte,15,16,120,1.0
Caxanga,17,18,123,0.8039
Cidade Universitaria,2,3,3,1.0
Coelhos,16,17,121,0.8897
Cohab,2,3,3,1.0
Coqueiral,6,7,21,1.0
Cordeiro,21,22,141,0.6104
Corrego do Jenipapo,7,8,28,1.0
Curado,6,7,21,1.0
Derby,15,16,120,1.0
Dois Irmaos,15,16,120,1.0
Dois Unidos,8,9,36,1.0
Encruzilhada,8,9,36,1.0
Engenho do Meio,16,17,121,0.8897
Espinheiro,15,16,120,1.0
Estancia,3,4,6,1.0
Fundao,8,9,36,1.0
Gracas,15,16,120,1.0
Guabiraba,7,8,28,1.0
Hipodromo,8,9,36,1.0
Ibura,17,18,123,0.8039
Ilha Joana Bezerra,1,2,1,1.0
Ilha do Leite,6,7,21,1.0
Ilha do Retiro,6,7,21,1.0
Imbiribeira,4,5,10,1.0
Ipsep,4,5,10,1.0
Iputinga,6,7,21,1.0
Jaqueira,15,16,120,1.0
Jardim Sao Paulo,6,7,21,1.0
Jiquia,3,4,6,1.0
Jordao,2,3,3,1.0
Linha do Tiro,8,9,36,1.0
Macaxeira,7,8,28,1.0
Madalena,6,7,21,1.0
Mangabeira,4,5,10,1.0
Mangueira,4,5,10,1.0
Monteiro,15,16,120,1.0
Morro da Conceicao,4,5,10,1.0
Mustardinha,4,5,10,1.0
Nova Descoberta,7,8,28,1.0
Paissandu,6,7,21,1.0
Parnamirim,15,16,120,1.0
Passarinho,7,8,28,1.0
Pau-Ferro,7,8,28,1.0
Peixinhos,8,9,36,1.0
Pina,4,5,10,1.0
Poco,15,16,120,1.0
Ponto de Parada,8,9,36,1.0
Porto da Madeira,8,9,36,1.0
Prado,6,7,21,1.0
Recife,16,17,121,0.8897
Rosarinho,8,9,36,1.0
San Martin,4,5,10,1.0
Sancho,6,7,21,1.0
Santana,15,16,120,1.0
Santo Amaro,1,2,1,1.0
Santo Antonio,6,7,21,1.0
Sao Jose,6,7,21,1.0
Sitio dos Pintos,15,16,120,1.0
Soledade,6,7,21,1.0
Tamarineira,15,16,120,1.0
Tejipio,6,7,21,1.0
Torre,6,7,21,1.0
Torreao,8,9,36,1.0
Torroes,1,2,1,1.0
Toto,6,7,21,1.0
Varzea,2,3,3,1.0
Vasco da Gama,4,5,10,1.0
Zumbi,6,7,21,1.0
